NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT05552859,Gla-300 and IDeg-100 in Insulin-Naïve People With Type 2 Diabetes Mellitus and Renal Impairment,https://clinicaltrials.gov/study/NCT05552859,TERMINATED,Type 2 Diabetes Mellitus|Renal Impairment,DRUG: Insulin glargine 300 U/mL|DRUG: Insulin degludec 100 U/mL,Sanofi,,INTERVENTIONAL,2023-08-04
NCT05413369,iGlarLixi vs IDegAsp in Chinese Participants After OAD(s),https://clinicaltrials.gov/study/NCT05413369,COMPLETED,Type 2 Diabetes Mellitus,DRUG: Insulin glargine/Lixisenatide|DRUG: IDegAsp|DRUG: Metformin|DRUG: SGLT2 inhibitor,Sanofi,,INTERVENTIONAL,2023-10-20
NCT05179603,A Study of SAR444245 With or Without Other Anticancer Therapies for the Treatment of Adults and Adolescents With Relapsed or Refractory B Cell Lymphoma (Master Protocol) [Pegathor Lymphoma 205],https://clinicaltrials.gov/study/NCT05179603,TERMINATED,Classic Hodgkin Lymphoma|Diffuse Large B-cell Lymphoma,DRUG: THOR-707|DRUG: Pembrolizumab,Sanofi,Merck Sharp & Dohme LLC,INTERVENTIONAL,2024-09-06
NCT05137041,Efficacy and Safety of FIRTECH in Patients With Mild to Moderate Acute Low Back Pain,https://clinicaltrials.gov/study/NCT05137041,COMPLETED,Low Back Pain,DEVICE: ITP FIRTECH,Sanofi,,INTERVENTIONAL,2022-11-22
NCT05132569,Efficacy and Safety of Tolebrutinib (SAR442168) Tablets in Adult Participants With Generalized Myasthenia Gravis,https://clinicaltrials.gov/study/NCT05132569,TERMINATED,Myasthenia Gravis,DRUG: Tolebrutininb|DRUG: Placebo,Sanofi,,INTERVENTIONAL,2023-02-21
NCT05132127,Sutimlimab (BIVV009) for the Adult Participants With Cold Agglutinin Disease (CAD) Who Have Completed Phase 3 Studies (CARDINAL or CADENZA) in Japan,https://clinicaltrials.gov/study/NCT05132127,COMPLETED,Cold Agglutinin Disease,DRUG: sutimlimab,Sanofi,,INTERVENTIONAL,2022-11-15
NCT05128773,"Study of Amcenestrant (SAR439859) Versus Tamoxifen for Patients With Hormone Receptor-positive (HR+) Early Breast Cancer, Who Have Discontinued Adjuvant Aromatase Inhibitor Therapy Due to Treatment-related Toxicity",https://clinicaltrials.gov/study/NCT05128773,TERMINATED,Breast Cancer,DRUG: Amcenestrant|DRUG: Tamoxifen|DRUG: Amcenestrant-matching placebo|DRUG: Tamoxifen-matching placebo,Sanofi,"Breast International Group|Alliance Foundation Trials, LLC.|European Organisation for Research and Treatment of Cancer - EORTC",INTERVENTIONAL,2022-10-13
NCT05114590,Effect of Soliqua 100/33 on Time in Range From Continuous Glucose Monitoring in Insulin-naive Patients With Very Uncontrolled Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT05114590,COMPLETED,Type 2 Diabetes Mellitus,DRUG: Insulin glargine/Lixisenatide,Sanofi,,INTERVENTIONAL,2023-04-14
NCT05104567,A Study of SAR444245 Combined With Other Anticancer Therapies for the Treatment of Participants With Gastrointestinal Cancer (Master Protocol) (Pegathor Gastrointestinal 203),https://clinicaltrials.gov/study/NCT05104567,COMPLETED,Oesophageal Squamous Cell Carcinoma|Gastric Cancer|Hepatocellular Carcinoma|Colorectal Cancer|Oesophageal Adenocarcinoma,DRUG: THOR-707|DRUG: Pembrolizumab|DRUG: Cetuximab,Sanofi,Merck Sharp & Dohme LLC,INTERVENTIONAL,2024-09-09
NCT05071053,Tusamitamab Ravtansine (SAR408701) in Combination With Ramucirumab in Pretreated Participants With Gastric Cancer,https://clinicaltrials.gov/study/NCT05071053,TERMINATED,Adenocarcinoma Gastric|Gastrooesophageal Cancer,DRUG: Ramucirumab (CYRAMZA®)|DRUG: Tusamitamab ravtansine (SAR408701),Sanofi,,INTERVENTIONAL,2024-11-05
NCT05061420,A Study of SAR444245 Combined With Other Anticancer Therapies for the Treatment of Participants With HNSCC (Master Protocol) (Pegathor Head and Neck 204),https://clinicaltrials.gov/study/NCT05061420,TERMINATED,Squamous Cell Carcinoma of Head and Neck,DRUG: Pembrolizumab|DRUG: SAR444245 (Thor-707)|DRUG: Cetuximab,Sanofi,Merck Sharp & Dohme LLC,INTERVENTIONAL,2024-11-26
NCT05049122,Dupilumab in Japanese Patients With Chronic Rhinosinusitis With Nasal Polyp (SINUS-M52),https://clinicaltrials.gov/study/NCT05049122,COMPLETED,Chronic Rhinosinusitis With Nasal Polyps,DRUG: Dupilumab SAR231893,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2023-07-05
NCT04914897,A Study of SAR444245 Combined With Other Anticancer Therapies for the Treatment of Participants With Lung Cancer or Mesothelioma (Pegathor Lung 202),https://clinicaltrials.gov/study/NCT04914897,TERMINATED,Pleural Mesothelioma|Non-small Cell Lung Cancer,DRUG: THOR-707|DRUG: Pembrolizumab,Sanofi,Merck Sharp & Dohme LLC,INTERVENTIONAL,2024-10-17
NCT04913220,A Study of SAR444245 Combined With Cemiplimab for the Treatment of Participants With Various Advanced Skin Cancers (Pegathor Skin 201),https://clinicaltrials.gov/study/NCT04913220,TERMINATED,Malignant Melanoma|Squamous Cell Carcinoma of Skin,DRUG: THOR-707|DRUG: Cemiplimab,Sanofi,,INTERVENTIONAL,2025-02-18
NCT04879628,Proof-of-concept Study for SAR441344 (Frexalimab) in Relapsing Multiple Sclerosis,https://clinicaltrials.gov/study/NCT04879628,ACTIVE_NOT_RECRUITING,Multiple Sclerosis,DRUG: SAR441344 IV|DRUG: placebo IV|DRUG: SAR441344 SC|DRUG: placebo SC|DRUG: MRI contrast-enhancing preparations,Sanofi,,INTERVENTIONAL,2027-08-23
NCT04823130,Dupilumab Effect on Pruritus Neuro-mechanisms in Patients With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04823130,COMPLETED,Dermatitis Atopic,DRUG: Dupilumab (SAR231893),Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2022-08-30
NCT04781816,Proof of Concept Study of SAR443122 in Patients With Cutaneous Lupus Erythematosus,https://clinicaltrials.gov/study/NCT04781816,COMPLETED,Cutaneous Lupus Erythematosus,DRUG: SAR443122|DRUG: Placebo,Sanofi,,INTERVENTIONAL,2023-06-26
NCT04718870,Dupilumab-PEdiatric Skin Barrier Function and LIpidomics STudy in Patients With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04718870,COMPLETED,Dermatitis Atopic,DRUG: Dupilumab SAR231893,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2022-11-30
NCT04705051,Long-term Treatment of Autosomal Dominant Polycystic Kidney Disease (ADPKD) With Venglustat,https://clinicaltrials.gov/study/NCT04705051,TERMINATED,Congenital Cystic Kidney Disease,DRUG: Venglustat GZ402671,Sanofi,,INTERVENTIONAL,2021-07-13
NCT04681729,Dupilumab for the Treatment of Chronic Inducible Cold Urticaria in Patients Who Remain Symptomatic Despite the Use of H1-antihistamine (LIBERTY-CINDU CUrIADS),https://clinicaltrials.gov/study/NCT04681729,COMPLETED,Cold Urticaria,DRUG: Dupilumab SAR231893|DRUG: Placebo|DRUG: Non sedating H1-antihistamine,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2023-04-20
NCT04678856,Dupilumab in CRSsNP,https://clinicaltrials.gov/study/NCT04678856,COMPLETED,Chronic Rhinosinusitis Without Nasal Polyps|Sinusitis|Chronic Sinusitis|Sinus Disorder|Respiratory Disorder,DRUG: Dupilumab SAR231893|DRUG: Placebo,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2024-01-29
NCT04661033,"Safety, Pharmacokinetics, and Efficacy of Subcutaneous Isatuximab in Adults With Warm Autoimmune Hemolytic Anemia (wAIHA)",https://clinicaltrials.gov/study/NCT04661033,TERMINATED,Warm Autoimmune Hemolytic Anemia (wAIHA),DRUG: Isatuximab SAR650984,Sanofi,,INTERVENTIONAL,2023-06-26
NCT04583618,Study of a Pneumococcal Conjugate Vaccine in Adults Aged 50 to 84 Years.,https://clinicaltrials.gov/study/NCT04583618,COMPLETED,Pneumococcal Immunization,BIOLOGICAL: Pneumococcal Conjugate Vaccine - formulation 1-SP0202-IIb|BIOLOGICAL: Pneumococcal Conjugate Vaccine - formulation 2-SP0202-VI|BIOLOGICAL: Pneumococcal Conjugate Vaccine - formulation 3-SP0202-VII|BIOLOGICAL: Pneumococcal 13 - valent conjugate vaccine-Prevnar 13|BIOLOGICAL: Pneumococcal Vaccine Polyvalent-Pneumovax 23,Sanofi,,INTERVENTIONAL,2022-01-20
NCT04572841,"Safety, Tolerability, Pharmacokinetics, and Therapeutic Efficacy of SAR441344 in Primary Sjögren's Syndrome (pSjS)",https://clinicaltrials.gov/study/NCT04572841,COMPLETED,Sjögren's Syndrome|Sjogren's Syndrome,DRUG: SAR441344|DRUG: Placebo,Sanofi,,INTERVENTIONAL,2024-02-09
NCT04502862,"A Phase 4, Randomized, Double-blind, Placebo-controlled, Multicenter, Parallel-group Study of the Effect of Dupilumab on Sleep Disturbance in Patients With Uncontrolled Persistent Asthma",https://clinicaltrials.gov/study/NCT04502862,COMPLETED,Asthma,DRUG: SAR231893|DRUG: Placebo,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2023-11-10
NCT04478266,Amcenestrant (SAR439859) Plus Palbociclib as First Line Therapy for Patients With ER (+) HER2(-) Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT04478266,TERMINATED,Breast Cancer,DRUG: Amcenestrant-matching placebo|DRUG: SAR439859|DRUG: Palbociclib|DRUG: Letrozole|DRUG: Goserelin|DRUG: Letrozole-matching placebo,Sanofi,,INTERVENTIONAL,2023-05-26
NCT04447417,Dupilumab Skin Barrier Function Study in Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04447417,COMPLETED,Atopic Dermatitis,DRUG: Dupilumab SAR231893,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2021-06-17
NCT04400318,The Effect of Dupilumab on Lung Inflammation and Related Changes in Airway Volumes Detectable by Functional Respiratory Imaging in Patients With Moderate-severe Asthma,https://clinicaltrials.gov/study/NCT04400318,COMPLETED,Asthma,DRUG: Dupilumab|DRUG: Placebo,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2023-08-21
NCT04394624,Tusamitamab Ravtansine (SAR408701) in Combination With Ramucirumab or Ramucirumab and Pembrolizumab in Pretreated Patients With NSQ NSCLC (CARMEN-LC04),https://clinicaltrials.gov/study/NCT04394624,TERMINATED,Non-small Cell Lung Cancer Metastatic,DRUG: SAR408701|DRUG: ramucirumab|DRUG: pembrolizumab,Sanofi,,INTERVENTIONAL,2024-10-24
NCT04368429,"Study of a Quadrivalent Meningococcal Conjugate Vaccine as a Single Dose Compared With a Single Dose of a Meningococcal Reference Vaccine in Children, Adolescents, and Adults 2 to 55 Years of Age",https://clinicaltrials.gov/study/NCT04368429,COMPLETED,Meningococcal Immunisation (Healthy Volunteers),"BIOLOGICAL: Meningococcal Polysaccharide (Serogroups A, C, Y, and W) Tetanus Toxoid Conjugate Vaccine (MenACYW Conjugate Vaccine)|BIOLOGICAL: Meningococcal (Groups A, C, Y and W 135) Polysaccharide Diphtheria Toxoid Conjugate Vaccine",Sanofi,,INTERVENTIONAL,2020-11-07
NCT04327388,Sarilumab COVID-19,https://clinicaltrials.gov/study/NCT04327388,COMPLETED,Corona Virus Infection,DRUG: Sarilumab SAR153191|DRUG: Placebo,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2020-09-02
NCT04294459,"Safety, Pharmacokinetics, and Preliminary Efficacy of Isatuximab in Patients Awaiting Kidney Transplantation",https://clinicaltrials.gov/study/NCT04294459,TERMINATED,Immune System Disorder,DRUG: Isatuximab SAR650984|DRUG: Acetaminophen (paracetamol) or equivalent|DRUG: Ranitidine or equivalent|DRUG: Diphenhydramine or equivalent|DRUG: Methylprednisolone or equivalent|DRUG: Montelukast or equivalent,Sanofi,,INTERVENTIONAL,2022-05-02
NCT04202679,"Study of Dupilumab for the Treatment of Patients With Prurigo Nodularis, Inadequately Controlled on Topical Prescription Therapies or When Those Therapies Are Not Advisable (PRIME2)",https://clinicaltrials.gov/study/NCT04202679,COMPLETED,Neurodermatitis,DRUG: Dupilumab SAR231893|DRUG: Placebo|DRUG: Moisturizers|DRUG: Low to medium potent topical corticosteroids|DRUG: Topical calcineurin inhibitors,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2021-11-22
NCT04191382,"Phase 2 Window Study of SAR439859 (Amcenestrant) Versus Letrozole in Post-menopausal Patients With ER+, HER2- Pre-operative Post-menopausal Primary Breast Cancer",https://clinicaltrials.gov/study/NCT04191382,TERMINATED,Breast Cancer,DRUG: Amcenestrant (SAR439859)|DRUG: Letrozole,Sanofi,,INTERVENTIONAL,2021-05-28
NCT04183335,"Study of Dupilumab for the Treatment of Patients With Prurigo Nodularis, Inadequately Controlled on Topical Prescription Therapies or When Those Therapies Are Not Advisable (LIBERTY-PN PRIME)",https://clinicaltrials.gov/study/NCT04183335,COMPLETED,Neurodermatitis,DRUG: Dupilumab SAR231893|DRUG: Placebo|DRUG: Moisturizers|DRUG: Low to medium potent topical corticosteroids|DRUG: Topical calcineurin inhibitors,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2022-02-03
NCT04154956,"SAR408701 Versus Docetaxel in Previously Treated, Carcinoembryonic Antigen-related Cell Adhesion Molecule 5 (CEACAM5) Positive Metastatic Non-squamous Non-small-cell Lung Cancer Patients",https://clinicaltrials.gov/study/NCT04154956,ACTIVE_NOT_RECRUITING,Non-small Cell Lung Cancer Metastatic,DRUG: SAR408701|DRUG: Docetaxel,Sanofi,,INTERVENTIONAL,2026-03-31
NCT04075513,Comparison of Glucose Values and Variability Between TOUJEO and TRESIBA During Continuous Glucose Monitoring in Type 1 Diabetes Patients,https://clinicaltrials.gov/study/NCT04075513,COMPLETED,Type 1 Diabetes Mellitus,"DRUG: Insulin glargine, 300 U/ml|DRUG: Insulin degludec, 100U/ml|DRUG: Background therapy: Rapid acting insulin analogs",Sanofi,,INTERVENTIONAL,2021-09-16
NCT04059484,Phase 2 Study of Amcenestrant (SAR439859) Versus Physician's Choice in Locally Advanced or Metastatic ER-positive Breast Cancer,https://clinicaltrials.gov/study/NCT04059484,TERMINATED,Breast Cancer Metastatic,DRUG: Amcenestrant|DRUG: Fulvestrant|DRUG: Anastrozole|DRUG: Letrozole|DRUG: Exemestane|DRUG: Tamoxifen,Sanofi,,INTERVENTIONAL,2025-01-02
NCT04033367,"SAR231893-LPS15497- ""Dupilumab Effect on Sleep in AD Patients""",https://clinicaltrials.gov/study/NCT04033367,COMPLETED,Atopic Dermatitis,DRUG: Dupilumab|DRUG: Placebo,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2021-10-06
NCT03930732,"Pivotal Study to Assess the Efficacy, Safety and Tolerability of Dupilumab in Patients With Moderate-to-severe COPD With Type 2 Inflammation",https://clinicaltrials.gov/study/NCT03930732,COMPLETED,Chronic Obstructive Pulmonary Disease,DRUG: Dupilumab SAR231893|DRUG: Inhaled Corticosteroid|DRUG: Inhaled Long-Acting Beta Agonist|DRUG: Inhaled Long-Acting Muscarinic Antagonist|DRUG: Placebo,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL,2023-05-02
NCT03889639,Dose-finding Study for SAR442168 in Relapsing Multiple Sclerosis,https://clinicaltrials.gov/study/NCT03889639,COMPLETED,Relapsing Multiple Sclerosis,DRUG: SAR442168|DRUG: Placebo|DRUG: Locally approved intravenous contrast medium for contrast enhanced magnetic resonance imaging (MRI),Sanofi,,INTERVENTIONAL,2020-01-02
NCT03874715,Comparison of SAR341402 to NovoLog in Adult Patients With Type 1 Diabetes Mellitus Also Using Insulin Glargine,https://clinicaltrials.gov/study/NCT03874715,COMPLETED,Type 1 Diabetes Mellitus,DRUG: Insulin Aspart SAR341402|DRUG: Insulin Aspart|DRUG: Insulin glargine U100,Sanofi,,INTERVENTIONAL,2020-07-08
NCT03860844,Isatuximab in Combination With Chemotherapy in Pediatric Patients With Relapsed/Refractory Acute Lymphoblastic Leukemia or Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT03860844,TERMINATED,Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia,DRUG: Isatuximab|DRUG: Dexamethasone or equivalent|DRUG: Fludarabine|DRUG: Cytarabine|DRUG: Liposomal daunorubicin|DRUG: Daunorubicin (nonliposomal)|DRUG: Idarubicin|DRUG: Filgrastim or equivalent|DRUG: Mitoxantrone|DRUG: Doxorubicin|DRUG: Vincristine|DRUG: Pegaspargase (PEG) Asparaginase|DRUG: Cyclophosphamide|DRUG: Etoposide|DRUG: Methotrexate|DRUG: L - Asparginase|DRUG: Hydroxyurea|DRUG: L - Asparaginase (Erwinase),Sanofi,,INTERVENTIONAL,2023-05-26
NCT03770728,Efficacy and Safety of Efpeglenatide Versus Placebo in Patients With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin Alone or in Combination With Sulfonylurea,https://clinicaltrials.gov/study/NCT03770728,TERMINATED,Type 2 Diabetes Mellitus,DRUG: Efpeglenatide SAR439977|DRUG: Placebo|DRUG: Background therapy: Metformin alone or in combination with SU,Sanofi,Hanmi Pharmaceutical Company Limited,INTERVENTIONAL,2020-12-27
NCT05608005,Study on Two Adjuvanted Dose Levels of Panblok H7+MF59 Compared for Immunogenicity and Safety With an Unadjuvanted Dose of Panblok H7 in Participants 18 Years of Age and Older,https://clinicaltrials.gov/study/NCT05608005,COMPLETED,Influenza|Healthy Volunteers,BIOLOGICAL: Panblok + MF59 Dose 1|BIOLOGICAL: Panblok + MF59 Dose 2|BIOLOGICAL: Unadjuvanted Panblok Dose 3,"Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2024-02-13
NCT05513391,Study With Quadrivalent Recombinant Influenza Vaccine (RIV4) Compared With Egg-Based Quadrivalent Influenza Vaccine (IIV4) in Participants Aged 3 to 8 Years,https://clinicaltrials.gov/study/NCT05513391,TERMINATED,Influenza Immunization,BIOLOGICAL: Recombinant influenza vaccine (RIV4)|BIOLOGICAL: Quadrivalent influenza vaccine (IIV4),"Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2023-10-03
NCT05513053,Study With Quadrivalent Recombinant Influenza Vaccine (RIV4) in Participants 9 Through 49 Years of Age.,https://clinicaltrials.gov/study/NCT05513053,COMPLETED,Influenza Immunization,BIOLOGICAL: Quadrivalent Recombinant influenza vaccine (RIV4) season/2022-2023/NH,"Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2023-10-27
NCT05144945,Study Describing the Immunogenicity and Safety of Quadrivalent Recombinant Influenza Vaccine (RIV4) Versus a Licensed Quadrivalent-inactivated Influenza Vaccine (IIV4) (Fluarix® Quadrivalent) in Participants 18 Years of Age and Older in South Korea,https://clinicaltrials.gov/study/NCT05144945,COMPLETED,Influenza (Healthy Volunteers),BIOLOGICAL: Quadrivalent Recombinant Influenza Vaccine (RIV4)|BIOLOGICAL: Quadrivalent inactivated influenza vaccine (IIV4),"Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2022-09-01
